"Date","Account","Category","Tags","Expense amount","Income amount","Currency","In main currency","Main currency","Description"
7/10/18,Cash,potni_str,janez,20.00,0,EUR,20.00,EUR,
7/10/18,Cash,potni_str,lenart,20.00,0,EUR,20.00,EUR,
7/10/18,Cash,hrana_pijaca,Ema,62.80,0,EUR,62.80,EUR,
7/10/18,Cash,za_petje,,0,200.00,EUR,200.00,EUR,
7/10/18,Cash,castil,vid,0,19.10,EUR,19.10,EUR,
7/18/18,Cash,za_petje,dorfarje,0,100.00,EUR,100.00,EUR,
7/29/18,Cash,hrana_pijaca,vahtnca,11.10,0,EUR,11.10,EUR,
7/29/18,Cash,za_petje,patricija,0,50.00,EUR,50.00,EUR,
8/1/18,Cash,za_petje,anka_70let,0,60.00,EUR,60.00,EUR,
8/24/18,Cash,za_petje,Ljubno,0,50.00,EUR,50.00,EUR,
9/1/18,Cash,potni_str,lenart,90.00,0,EUR,90.00,EUR,
9/1/18,Cash,potni_str,voje,40.00,0,EUR,40.00,EUR,
9/1/18,Cash,potni_str,vid,40.00,0,EUR,40.00,EUR,
